sample_id,customer_id,template_id,text,intent,split,source,dataset_version
S0064,C0023,exchange_request-00,麻烦确认一下，我要申请换货。,exchange_request,train,course-authored-synthetic,1.0.0
S0065,C0033,complaint-00,你好，我要投诉客服的态度？,complaint,train,course-authored-synthetic,1.0.0
S0066,C0064,exchange_request-09,想请你帮忙：要办理同款换新。,exchange_request,train,course-authored-synthetic,1.0.0
S0067,C0053,exchange_request-14,麻烦确认一下，这台想置换为正确型号。,exchange_request,validation,course-authored-synthetic,1.0.0
S0068,C0073,product_info-12,麻烦确认一下，还没买，想比较不同版本。,product_info,validation,course-authored-synthetic,1.0.0
S0069,C0114,complaint-14,麻烦确认一下，多次推诿处理希望主管介入。,complaint,validation,course-authored-synthetic,1.0.0
S0070,C0133,exchange_request-04,我这边的情况是：想把这件换成另一个型号，谢谢。,exchange_request,train,course-authored-synthetic,1.0.0
S0071,C0147,unknown-test-01,我这边的情况是：给我做一份健身计划，谢谢。,unknown,test,course-authored-synthetic,1.0.0
S0072,C0094,product_info-10,想问新型号的价格。,product_info,train,course-authored-synthetic,1.0.0
S0073,C0020,shipping_status-11,麻烦确认一下，货到哪个城市了。,shipping_status,train,course-authored-synthetic,1.0.0
S0074,C0028,product_info-04,麻烦确认一下，下单前想问有没有货。,product_info,train,course-authored-synthetic,1.0.0
S0075,C0170,change_address-10,你好，收货地点需要变更？,change_address,train,course-authored-synthetic,1.0.0
S0076,C0109,invoice-17,麻烦确认一下，付款没问题，只是开票失败。,invoice,test,course-authored-synthetic,1.0.0
S0077,C0097,technical_help-17,想请你帮忙：不是咨询购买参数，我已经买了想安装。,technical_help,test,course-authored-synthetic,1.0.0
S0078,C0101,change_address-06,收货电话要换成新的。,change_address,train,course-authored-synthetic,1.0.0
S0079,C0017,technical_help-03,我这边的情况是：机器如何恢复出厂设置，谢谢。,technical_help,train,course-authored-synthetic,1.0.0
S0080,C0038,change_address-19,你好，包裹上的联系人名字要纠正？,change_address,test,course-authored-synthetic,1.0.0
S0081,C0095,warranty-00,麻烦确认一下，产品还在保修期内吗。,warranty,train,course-authored-synthetic,1.0.0
S0082,C0018,payment-04,我这边的情况是：订单支付一直转圈，谢谢。,payment,train,course-authored-synthetic,1.0.0
S0083,C0037,invoice-18,想请你帮忙：报销需要税务票据，如何申请。,invoice,test,course-authored-synthetic,1.0.0
S0084,C0248,payment-08,你好，扫码支付没有成功？,payment,train,course-authored-synthetic,1.0.0
S0085,C0227,technical_help-07,麻烦确认一下，软件升级怎么操作。,technical_help,train,course-authored-synthetic,1.0.0
S0086,C0102,cancel_order-14,预订的货不需要了想退订。,cancel_order,validation,course-authored-synthetic,1.0.0
S0087,C0176,payment-16,想请你帮忙：不是问退款，我遇到重复扣款。,payment,test,course-authored-synthetic,1.0.0
S0088,C0049,product_info-15,想请你帮忙：打算采购，能提供参数表吗。,product_info,validation,course-authored-synthetic,1.0.0
S0089,C0218,product_info-18,想请你帮忙：给门店选设备，哪款支持有线接口。,product_info,test,course-authored-synthetic,1.0.0
S0090,C0010,complaint-13,我这边的情况是：工作人员失约我要正式反映，谢谢。,complaint,validation,course-authored-synthetic,1.0.0
S0091,C0242,return_request-14,想请你帮忙：买错型号，收到后准备寄回退款。,return_request,validation,course-authored-synthetic,1.0.0
S0092,C0139,payment-19,想请你帮忙：已经扣费却说我还没有完成支付。,payment,test,course-authored-synthetic,1.0.0
S0093,C0007,payment-17,发票以后再说，现在支付失败。,payment,test,course-authored-synthetic,1.0.0
S0094,C0142,return_request-19,你好，签收的货想退掉，不是取消未发货订单？,return_request,test,course-authored-synthetic,1.0.0
S0095,C0080,payment-03,想请你帮忙：银行卡付不了款。,payment,train,course-authored-synthetic,1.0.0
S0096,C0089,unknown-test-02,你好，帮我预测足球比赛结果？,unknown,test,course-authored-synthetic,1.0.0
S0097,C0085,return_request-03,你好，怎么提交退货申请？,return_request,train,course-authored-synthetic,1.0.0
S0098,C0182,return_request-05,麻烦确认一下，七天内退货要怎么操作。,return_request,train,course-authored-synthetic,1.0.0
S0099,C0235,complaint-04,麻烦确认一下，客服一直不回复我要投诉。,complaint,train,course-authored-synthetic,1.0.0
S0100,C0027,payment-12,想请你帮忙：支付按钮点了没反应。,payment,validation,course-authored-synthetic,1.0.0
S0101,C0147,unknown-test-01,麻烦确认一下，给我做一份健身计划。,unknown,test,course-authored-synthetic,1.0.0
S0102,C0035,change_address-04,麻烦确认一下，地址填错了需要修改。,change_address,train,course-authored-synthetic,1.0.0
S0103,C0078,exchange_request-13,你好，能换成同价的另一个规格吗？,exchange_request,validation,course-authored-synthetic,1.0.0
S0104,C0114,complaint-14,你好，多次推诿处理希望主管介入？,complaint,validation,course-authored-synthetic,1.0.0
S0105,C0049,product_info-15,麻烦确认一下，打算采购，能提供参数表吗。,product_info,validation,course-authored-synthetic,1.0.0
S0106,C0135,payment-13,钱扣走了订单仍是待付款。,payment,validation,course-authored-synthetic,1.0.0
S0107,C0124,technical_help-01,蓝牙连接不上怎么办。,technical_help,train,course-authored-synthetic,1.0.0
S0108,C0142,return_request-19,我这边的情况是：签收的货想退掉，不是取消未发货订单，谢谢。,return_request,test,course-authored-synthetic,1.0.0
S0109,C0178,exchange_request-12,你好，到货颜色和需求不符希望调换？,exchange_request,validation,course-authored-synthetic,1.0.0
S0110,C0193,change_address-02,想请你帮忙：请更改订单配送地址。,change_address,train,course-authored-synthetic,1.0.0
S0111,C0047,invoice-02,我这边的情况是：我需要增值税发票，谢谢。,invoice,train,course-authored-synthetic,1.0.0
S0112,C0087,product_info-06,想请你帮忙：两款型号有什么区别。,product_info,train,course-authored-synthetic,1.0.0
S0113,C0035,change_address-04,你好，地址填错了需要修改？,change_address,train,course-authored-synthetic,1.0.0
S0114,C0209,invoice-15,想请你帮忙：开具的票据在哪里领取。,invoice,validation,course-authored-synthetic,1.0.0
S0115,C0217,technical_help-02,想请你帮忙：请教一下使用步骤。,technical_help,train,course-authored-synthetic,1.0.0
S0116,C0014,cancel_order-01,这笔订单不要了请关闭。,cancel_order,train,course-authored-synthetic,1.0.0
S0117,C0141,shipping_status-03,麻烦确认一下，包裹什么时候能送到。,shipping_status,train,course-authored-synthetic,1.0.0
S0118,C0159,payment-06,可以用哪种方式付款。,payment,train,course-authored-synthetic,1.0.0
S0119,C0027,payment-12,麻烦确认一下，支付按钮点了没反应。,payment,validation,course-authored-synthetic,1.0.0
S0120,C0122,refund_status-13,麻烦确认一下，退款已经同意多久能入账。,refund_status,validation,course-authored-synthetic,1.0.0
S0121,C0156,refund_status-16,我这边的情况是：退货物流已结束，为什么款没到，谢谢。,refund_status,test,course-authored-synthetic,1.0.0
S0122,C0100,payment-01,支付时提示余额不足。,payment,train,course-authored-synthetic,1.0.0
S0123,C0136,product_info-17,你好，不查订单物流，想知道商品是否有现货？,product_info,test,course-authored-synthetic,1.0.0
S0124,C0130,complaint-07,你好，想反馈工作人员的不当行为？,complaint,train,course-authored-synthetic,1.0.0
S0125,C0241,technical_help-19,我这边的情况是：按照手册操作仍无法配对，请给排查步骤，谢谢。,technical_help,test,course-authored-synthetic,1.0.0
S0126,C0108,invoice-07,麻烦确认一下，电子发票发到哪里了。,invoice,train,course-authored-synthetic,1.0.0
S0127,C0091,payment-18,收银台提示交易被拒绝。,payment,test,course-authored-synthetic,1.0.0
S0128,C0219,complaint-18,麻烦确认一下，请对工作人员的敷衍做出处理。,complaint,test,course-authored-synthetic,1.0.0
S0129,C0205,technical_help-11,麻烦确认一下，安装软件时提示报错。,technical_help,train,course-authored-synthetic,1.0.0
S0130,C0098,refund_status-11,麻烦确认一下，退款银行卡没有入账。,refund_status,train,course-authored-synthetic,1.0.0
S0131,C0188,technical_help-13,固件更新卡住了怎么恢复。,technical_help,validation,course-authored-synthetic,1.0.0
S0132,C0247,shipping_status-17,你好，没打算取消，想催一下发货？,shipping_status,test,course-authored-synthetic,1.0.0
S0133,C0174,warranty-14,想找官方修理中心。,warranty,validation,course-authored-synthetic,1.0.0
S0134,C0111,change_address-14,想请你帮忙：联系人换了需要改收货资料。,change_address,validation,course-authored-synthetic,1.0.0
S0135,C0184,warranty-15,我这边的情况是：维修后的设备多久寄回来，谢谢。,warranty,validation,course-authored-synthetic,1.0.0
S0136,C0229,complaint-11,告诉我服务投诉电话。,complaint,train,course-authored-synthetic,1.0.0
S0137,C0108,invoice-07,电子发票发到哪里了。,invoice,train,course-authored-synthetic,1.0.0
S0138,C0058,product_info-05,这个商品是什么材质。,product_info,train,course-authored-synthetic,1.0.0
S0139,C0178,exchange_request-12,到货颜色和需求不符希望调换。,exchange_request,validation,course-authored-synthetic,1.0.0
S0140,C0048,complaint-02,麻烦确认一下，请给我投诉渠道。,complaint,train,course-authored-synthetic,1.0.0
S0141,C0177,shipping_status-15,想请你帮忙：发出后能追踪包裹吗。,shipping_status,validation,course-authored-synthetic,1.0.0
S0142,C0205,technical_help-11,我这边的情况是：安装软件时提示报错，谢谢。,technical_help,train,course-authored-synthetic,1.0.0
S0143,C0162,unknown-validation-01,麻烦确认一下，能帮我预订一张火车票吗。,unknown,validation,course-authored-synthetic,1.0.0
S0144,C0208,return_request-17,我这边的情况是：别查退款进度，我还没申请退货，谢谢。,return_request,test,course-authored-synthetic,1.0.0
S0145,C0024,complaint-09,麻烦确认一下，客服说话不礼貌我要反馈。,complaint,train,course-authored-synthetic,1.0.0
S0146,C0196,change_address-05,我这边的情况是：包裹能改寄另一个地址吗，谢谢。,change_address,train,course-authored-synthetic,1.0.0
S0147,C0107,change_address-13,楼栋号码填反了怎么更正。,change_address,validation,course-authored-synthetic,1.0.0
S0148,C0131,refund_status-06,想请你帮忙：这笔退款目前什么状态。,refund_status,train,course-authored-synthetic,1.0.0
S0149,C0112,refund_status-09,售后退款一直显示处理中。,refund_status,train,course-authored-synthetic,1.0.0
S0150,C0082,cancel_order-11,想请你帮忙：还没发出就不要寄了，取消吧。,cancel_order,train,course-authored-synthetic,1.0.0
S0151,C0040,warranty-02,坏了能免费维修吗。,warranty,train,course-authored-synthetic,1.0.0
S0152,C0154,exchange_request-18,你好，签收后才发现买小了，想换大一号？,exchange_request,test,course-authored-synthetic,1.0.0
S0153,C0081,change_address-12,麻烦确认一下，配送地址能换到公司吗。,change_address,validation,course-authored-synthetic,1.0.0
S0154,C0086,exchange_request-02,颜色买错了可以换货吗。,exchange_request,train,course-authored-synthetic,1.0.0
S0155,C0099,warranty-16,我这边的情况是：不要求换货，只想送去维修，谢谢。,warranty,test,course-authored-synthetic,1.0.0
S0156,C0100,payment-01,我这边的情况是：支付时提示余额不足，谢谢。,payment,train,course-authored-synthetic,1.0.0
S0157,C0143,change_address-07,麻烦确认一下，订单地址少写了门牌号。,change_address,train,course-authored-synthetic,1.0.0
S0158,C0202,product_info-03,产品支持哪些接口。,product_info,train,course-authored-synthetic,1.0.0
S0159,C0171,unknown-test-03,我这边的情况是：你能替我订酒店吗，谢谢。,unknown,test,course-authored-synthetic,1.0.0
S0160,C0021,cancel_order-12,我这边的情况是：待处理订单需要关闭，谢谢。,cancel_order,validation,course-authored-synthetic,1.0.0
S0161,C0034,payment-10,麻烦确认一下，付款验证码收不到。,payment,train,course-authored-synthetic,1.0.0
S0162,C0174,warranty-14,你好，想找官方修理中心？,warranty,validation,course-authored-synthetic,1.0.0
S0163,C0062,exchange_request-07,这次我只换货不退款。,exchange_request,train,course-authored-synthetic,1.0.0
S0164,C0157,complaint-01,想请你帮忙：服务太差我要投诉。,complaint,train,course-authored-synthetic,1.0.0
S0165,C0163,exchange_request-15,你好，我需要更换收到的错误商品？,exchange_request,validation,course-authored-synthetic,1.0.0
S0166,C0090,unknown-validation-04,你好，帮我翻译一句英文？,unknown,validation,course-authored-synthetic,1.0.0
S0167,C0055,return_request-00,我这边的情况是：东西已经收到，想申请退货，谢谢。,return_request,train,course-authored-synthetic,1.0.0
S0168,C0249,technical_help-09,想请你帮忙：如何设置设备参数。,technical_help,train,course-authored-synthetic,1.0.0
S0169,C0186,complaint-10,想请你帮忙：我要对这次服务提出正式投诉。,complaint,train,course-authored-synthetic,1.0.0
S0170,C0150,invoice-14,公司抬头的电子票能补开吗。,invoice,validation,course-authored-synthetic,1.0.0
S0171,C0003,warranty-17,不是安装问题，设备损坏需要报修。,warranty,test,course-authored-synthetic,1.0.0
S0172,C0010,complaint-13,你好，工作人员失约我要正式反映？,complaint,validation,course-authored-synthetic,1.0.0
S0173,C0250,shipping_status-09,想请你帮忙：包裹还在配送中吗。,shipping_status,train,course-authored-synthetic,1.0.0
S0174,C0210,product_info-19,想请你帮忙：尚未购买，想核对规格是否满足需求。,product_info,test,course-authored-synthetic,1.0.0
S0175,C0197,shipping_status-19,能帮我查配送卡在哪一站吗。,shipping_status,test,course-authored-synthetic,1.0.0
S0176,C0019,shipping_status-14,麻烦确认一下，还没收到东西想查运单。,shipping_status,validation,course-authored-synthetic,1.0.0
S0177,C0091,payment-18,我这边的情况是：收银台提示交易被拒绝，谢谢。,payment,test,course-authored-synthetic,1.0.0
S0178,C0184,warranty-15,麻烦确认一下，维修后的设备多久寄回来。,warranty,validation,course-authored-synthetic,1.0.0
S0179,C0196,change_address-05,想请你帮忙：包裹能改寄另一个地址吗。,change_address,train,course-authored-synthetic,1.0.0
S0180,C0107,change_address-13,你好，楼栋号码填反了怎么更正？,change_address,validation,course-authored-synthetic,1.0.0
S0181,C0034,payment-10,你好，付款验证码收不到？,payment,train,course-authored-synthetic,1.0.0
S0182,C0182,return_request-05,你好，七天内退货要怎么操作？,return_request,train,course-authored-synthetic,1.0.0
S0183,C0251,complaint-19,麻烦确认一下，普通咨询解决不了，我要求负责人受理服务申诉。,complaint,test,course-authored-synthetic,1.0.0
S0184,C0187,return_request-02,我这边的情况是：退货地址在哪里，谢谢。,return_request,train,course-authored-synthetic,1.0.0
S0185,C0086,exchange_request-02,我这边的情况是：颜色买错了可以换货吗，谢谢。,exchange_request,train,course-authored-synthetic,1.0.0
S0186,C0046,invoice-01,你好，发票抬头写错了？,invoice,train,course-authored-synthetic,1.0.0
S0187,C0063,complaint-05,我这边的情况是：我要举报这次服务体验，谢谢。,complaint,train,course-authored-synthetic,1.0.0
S0188,C0215,cancel_order-04,未付款的订单怎么取消。,cancel_order,train,course-authored-synthetic,1.0.0
S0189,C0189,unknown-test-06,你好，想学习吉他从哪里开始？,unknown,test,course-authored-synthetic,1.0.0
S0190,C0189,unknown-test-06,我这边的情况是：想学习吉他从哪里开始，谢谢。,unknown,test,course-authored-synthetic,1.0.0
S0191,C0111,change_address-14,你好，联系人换了需要改收货资料？,change_address,validation,course-authored-synthetic,1.0.0
S0192,C0001,unknown-validation-06,我这边的情况是：写一首关于春天的诗，谢谢。,unknown,validation,course-authored-synthetic,1.0.0
S0193,C0016,product_info-11,你好，商品支持多大功率？,product_info,train,course-authored-synthetic,1.0.0
S0194,C0206,change_address-16,麻烦确认一下，不是催物流，是要改配送地址。,change_address,test,course-authored-synthetic,1.0.0
S0195,C0152,payment-07,支付页面打不开。,payment,train,course-authored-synthetic,1.0.0
S0196,C0246,unknown-validation-02,请给我讲一个太空故事。,unknown,validation,course-authored-synthetic,1.0.0
S0197,C0004,warranty-11,我要登记一个维修工单。,warranty,train,course-authored-synthetic,1.0.0
S0198,C0074,unknown-validation-00,我这边的情况是：明天会不会下雨，谢谢。,unknown,validation,course-authored-synthetic,1.0.0
S0199,C0121,complaint-15,麻烦确认一下，需要登记一条针对坐席的意见。,complaint,validation,course-authored-synthetic,1.0.0
S0200,C0158,warranty-06,我这边的情况是：保修期限是多久，谢谢。,warranty,train,course-authored-synthetic,1.0.0
S0201,C0022,return_request-11,我这边的情况是：想把收到的货退给你们，谢谢。,return_request,train,course-authored-synthetic,1.0.0
S0202,C0097,technical_help-17,你好，不是咨询购买参数，我已经买了想安装？,technical_help,test,course-authored-synthetic,1.0.0
S0203,C0149,refund_status-18,支付账户没有收到返还的金额。,refund_status,test,course-authored-synthetic,1.0.0
S0204,C0076,cancel_order-09,撤销刚提交的购买订单。,cancel_order,train,course-authored-synthetic,1.0.0
S0205,C0062,exchange_request-07,我这边的情况是：这次我只换货不退款，谢谢。,exchange_request,train,course-authored-synthetic,1.0.0
S0206,C0192,unknown-validation-03,我这边的情况是：中午吃什么比较好，谢谢。,unknown,validation,course-authored-synthetic,1.0.0
S0207,C0132,exchange_request-11,你好，请给我一个换货单？,exchange_request,train,course-authored-synthetic,1.0.0
S0208,C0079,refund_status-07,我这边的情况是：退款金额怎么还没退回来，谢谢。,refund_status,train,course-authored-synthetic,1.0.0
S0209,C0047,invoice-02,麻烦确认一下，我需要增值税发票。,invoice,train,course-authored-synthetic,1.0.0
S0210,C0133,exchange_request-04,麻烦确认一下，想把这件换成另一个型号。,exchange_request,train,course-authored-synthetic,1.0.0
S0211,C0116,technical_help-06,麻烦确认一下，驱动程序在哪里下载。,technical_help,train,course-authored-synthetic,1.0.0
S0212,C0029,shipping_status-00,订单的物流走到哪里了。,shipping_status,train,course-authored-synthetic,1.0.0
S0213,C0102,cancel_order-14,你好，预订的货不需要了想退订？,cancel_order,validation,course-authored-synthetic,1.0.0
S0214,C0128,refund_status-03,麻烦确认一下，退款申请通过了钱在哪。,refund_status,train,course-authored-synthetic,1.0.0
S0215,C0058,product_info-05,你好，这个商品是什么材质？,product_info,train,course-authored-synthetic,1.0.0
S0216,C0049,product_info-15,你好，打算采购，能提供参数表吗？,product_info,validation,course-authored-synthetic,1.0.0
S0217,C0117,invoice-00,我这边的情况是：怎么开电子发票，谢谢。,invoice,train,course-authored-synthetic,1.0.0
S0218,C0234,cancel_order-15,我这边的情况是：重复购买的那一单请作废，谢谢。,cancel_order,validation,course-authored-synthetic,1.0.0
S0219,C0081,change_address-12,想请你帮忙：配送地址能换到公司吗。,change_address,validation,course-authored-synthetic,1.0.0
S0220,C0200,technical_help-05,你好，设备连不上无线网络？,technical_help,train,course-authored-synthetic,1.0.0
S0221,C0097,technical_help-17,麻烦确认一下，不是咨询购买参数，我已经买了想安装。,technical_help,test,course-authored-synthetic,1.0.0
S0222,C0106,cancel_order-13,这单尚未出库，帮我撤回。,cancel_order,validation,course-authored-synthetic,1.0.0
S0223,C0234,cancel_order-15,麻烦确认一下，重复购买的那一单请作废。,cancel_order,validation,course-authored-synthetic,1.0.0
S0224,C0200,technical_help-05,想请你帮忙：设备连不上无线网络。,technical_help,train,course-authored-synthetic,1.0.0
S0225,C0003,warranty-17,我这边的情况是：不是安装问题，设备损坏需要报修，谢谢。,warranty,test,course-authored-synthetic,1.0.0
S0226,C0025,product_info-01,准备买之前想了解功能。,product_info,train,course-authored-synthetic,1.0.0
S0227,C0050,return_request-01,想请你帮忙：我想把商品退回去。,return_request,train,course-authored-synthetic,1.0.0
S0228,C0171,unknown-test-03,想请你帮忙：你能替我订酒店吗。,unknown,test,course-authored-synthetic,1.0.0
S0229,C0150,invoice-14,我这边的情况是：公司抬头的电子票能补开吗，谢谢。,invoice,validation,course-authored-synthetic,1.0.0
S0230,C0152,payment-07,想请你帮忙：支付页面打不开。,payment,train,course-authored-synthetic,1.0.0
S0231,C0033,complaint-00,想请你帮忙：我要投诉客服的态度。,complaint,train,course-authored-synthetic,1.0.0
S0232,C0099,warranty-16,想请你帮忙：不要求换货，只想送去维修。,warranty,test,course-authored-synthetic,1.0.0
S0233,C0115,refund_status-02,你好，查一下退款处理进度？,refund_status,train,course-authored-synthetic,1.0.0
S0234,C0025,product_info-01,想请你帮忙：准备买之前想了解功能。,product_info,train,course-authored-synthetic,1.0.0
S0235,C0138,warranty-04,麻烦确认一下，维修服务网点在哪里。,warranty,train,course-authored-synthetic,1.0.0
S0236,C0247,shipping_status-17,我这边的情况是：没打算取消，想催一下发货，谢谢。,shipping_status,test,course-authored-synthetic,1.0.0
S0237,C0239,warranty-09,我这边的情况是：设备损坏需要售后维修，谢谢。,warranty,train,course-authored-synthetic,1.0.0
S0238,C0213,unknown-validation-07,想请你帮忙：我想查询航班起飞时间。,unknown,validation,course-authored-synthetic,1.0.0
S0239,C0111,change_address-14,联系人换了需要改收货资料。,change_address,validation,course-authored-synthetic,1.0.0
S0240,C0200,technical_help-05,我这边的情况是：设备连不上无线网络，谢谢。,technical_help,train,course-authored-synthetic,1.0.0
S0241,C0168,refund_status-10,你好，账户里没看到退回款项？,refund_status,train,course-authored-synthetic,1.0.0
S0242,C0002,cancel_order-02,你好，帮我取消未发出的订单？,cancel_order,train,course-authored-synthetic,1.0.0
S0243,C0162,unknown-validation-01,能帮我预订一张火车票吗。,unknown,validation,course-authored-synthetic,1.0.0
